"Scenario","Globiom_Reg","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF25","JapanReg","2080",0,0,0,0,0.00206583421719813,0.00693084393584662,0.0100152882489993,0.0151921504840263,0,0.000420456816736104,0,0,0,0,0,0,0,0,0,0.00116178573157705,0,0,0.00123226677908542,0.00360745796067332,0,0.00103185592024706,0,0.0127933397857642
"RCP_MFM_AF25","JapanReg","2090",0,0,0,0,0.0018526481018565,0.00714692509764469,0.00931508153880653,0.0155707369158324,0,0.000476898298941828,0,0,0,0,0,0,0,0,0,0.00279584254373137,0,0,0.0013229086543958,0.00062730220339548,0,0.00164244069559373,0,0.0214432319353724
"RCP_MFM_AF25","JapanReg","2100",0,0,0,0,0.00148940568023846,0.00715973945495533,0.00602061909601539,0.0155620939868633,0,0.000481137299474032,0,0,0,0,0,0,0,0,0,0.0028563175095637,0,0,0.00260573125323453,3.37246211849714e-05,0,0.00165416881064615,0,0.0244300138839925
"RCP_MFM_AF25","MalaysiaReg","2000",0,0,0,0,0.0198233701832007,0.0270368880016955,0.0247863910413884,0.00591070620746722,0,2.37048433464621e-12,0,0,0.00124239221298163,0,0,0,0,0,0,0,0,0,0,0.0115861794448314,0,0.000304745369703774,0,0.0233238673832942
"RCP_MFM_AF25","MalaysiaReg","2010",0,0,0,0,0.0201813115193839,0.0270414779337198,0.0244790091342029,0.00591146856042593,0,2.32081580058087e-10,0,0,0.00129314468998929,0,0,0,0,0,0,0,0,0,0.000386822170285268,0.011366951432143,0,0.000316526087170576,0,0.0230367109714989
"RCP_MFM_AF25","MalaysiaReg","2020",0,0,0,0,0.0208155210073572,0.0272549282002525,0.0248235892591748,0.00595581926643227,0,3.64089129882199e-10,0,0,0.00128236117197795,0,0,0,0,0,0,0,7.30192282970605e-06,0,0.000389705249313388,0.00972285649925113,0,0.000551871262183173,0,0.0279390041988044
"RCP_MFM_AF25","MalaysiaReg","2030",0,0,0,0,0.0169431084408073,0.0275058983470475,0.0242592902278439,0.00601105768193877,0,3.65157755901358e-10,0,0,0.0016667417005981,0,0,0,0,0,0,0.00480932772009179,1.10054986672634e-05,0,0.000520043748506976,0.0090567839514517,0,0.000800564009652878,0,0.0323990800010334
"RCP_MFM_AF25","MalaysiaReg","2040",0,0,0,0,0.0170017947978174,0.0276017450395319,0.0237404683638941,0.00603052928167909,0,3.56963543680049e-10,0,0,0.00171837312404066,0,0,0,0,0,0,0.00485373758295339,0.000384087809263933,0,0.000644401495783201,0.00874085829951002,0,0.000813815750438837,0,0.034497323702568
"RCP_MFM_AF25","MalaysiaReg","2050",0,0,0,0,0.0159188666919666,0.0276182433657359,0.020440089741593,0.00603664274890948,0,3.54249691851342e-10,0,0,0.00207161887950099,0,0,0,0,0,0,0.00662120616904783,0.00131410482581688,0,0.00152383345810951,0.00857535453088511,0,0.000868162965381245,0,0.0350339948583884
"RCP_MFM_AF25","MalaysiaReg","2060",0,0,0,0,0.0149456843932849,0.0275793652908445,0.0149602253389889,0.00601205221927473,0,4.02383360916291e-10,0,0,0.00227332541053421,0,0,0,0,0,0,0.00895515573745017,0.00293214690098465,0,0.00285417390956069,0.00837686314592024,0,0.000913517329053071,0,0.0352824945175053
