Ecoregion,Globiom_Reg,Share
PA1306,Former_USSR,0.58263943
PA1005,Former_USSR,7.11E-05
PA1322,Former_USSR,0.001801506
PA1006,Former_USSR,9.54E-05
IM1402,RSEA_OPA,0.309895208
IM0121,RSEA_OPA,0.268586619
IM0108,RSEA_OPA,1
IM0107,RSEA_OPA,1
IM0210,RSEA_OPA,0.121447474
IM0139,RSEA_OPA,0.724441821
IM0138,RSEA_OPA,0.674456183
IM0106,RSEA_OPA,0.27447628
IM0144,RSEA_OPA,0.041459204
PA0812,TurkeyReg,0.008322757
PA1201,TurkeyReg,0.35962276
PA0422,TurkeyReg,0.912887376
PA0803,TurkeyReg,1
PA0404,TurkeyReg,0.079550416
PA0408,TurkeyReg,0.120530504
PA0515,TurkeyReg,1
PA0805,TurkeyReg,0.471492608
PA1202,TurkeyReg,1
PA0410,TurkeyReg,1
PA0420,TurkeyReg,1
PA1220,TurkeyReg,0.884691149
PA1207,TurkeyReg,0.487082839
PA0446,TurkeyReg,0.040393115
PA1008,Former_USSR,0.593902588
PA1319,Former_USSR,0.749280842
AT0108,EasternAf,0.927724082
AT0712,EasternAf,0.003452745
AT0101,EasternAf,0.378833611
AT1005,EasternAf,1
PA0412,UkraineReg,0.260290311
PA0504,UkraineReg,0.266768309
PA0419,UkraineReg,0.16380283
PA0814,UkraineReg,0.242185354
PA0431,UkraineReg,0.01562909
PA0416,UkraineReg,0.251864623
IM0149,RSEA_PAC,0.170780852
IM0211,RSEA_PAC,1
IM0147,RSEA_PAC,1
AT1318,MidEastNorthAfr,1
NT0135,RSAM,0.082423775
NT0173,BrazilReg,0.998934289
NT0123,BrazilReg,1
NT0133,BrazilReg,1
NT1406,BrazilReg,1
NT0703,BrazilReg,1
NT0104,BrazilReg,1
NT0102,BrazilReg,0.999621716
NT0704,BrazilReg,0.992611215
NT0150,BrazilReg,0.77528925
NT0128,BrazilReg,0.271699759
NT0144,BrazilReg,1
NT0156,BrazilReg,0.813314596
NT0141,BrazilReg,0.999995916
NT0106,BrazilReg,1
NT0140,BrazilReg,1
NT0180,BrazilReg,1
NT0157,BrazilReg,0.999971159
NT0152,BrazilReg,1
NT0170,BrazilReg,1
NT0135,BrazilReg,0.917576225
NT0168,BrazilReg,1
NT0139,BrazilReg,1
NT1304,BrazilReg,1
NT0166,BrazilReg,0.424107713
NT0210,BrazilReg,0.000146333
NT0907,BrazilReg,0.799463278
NT0151,BrazilReg,1
NT0202,BrazilReg,1
NT0702,BrazilReg,8.35E-06
NT0103,BrazilReg,1
NT0212,BrazilReg,0.285759693
NT0708,BrazilReg,0.004074974
NT0160,BrazilReg,1
NT0101,BrazilReg,0.978566973
NT0909,BrazilReg,0.002953418
NT0710,BrazilReg,0.494695763
NT0132,BrazilReg,0.870852173
NT0163,BrazilReg,0.214872424
NT0156,RSAM,0.186685404
NT0163,RSAM,0.785127576
NT1004,RSAM,1
NT0121,RSAM,1
NT0145,RSAM,1
NT0142,RSAM,1
NT1405,RSAM,0.850563651
NT0232,RSAM,1
OC0105,Pacific_Island,1
AA0401,ANZ,1
OC0107,ANZ,1
NT0174,RSAM,1
NT0153,RSAM,1
NT0223,RSAM,1
AA1101,ANZ,1
AT0723,SouthernAf,0.4105101
AT0718,SouthernAf,0.103244028
AT0102,SouthernAf,0.01368628
AT0704,SouthernAf,0.406454253
AT0704,EasternAf,0.245606441
AT0723,CongoBasin,0.5894899
AT0126,CongoBasin,1
AT0102,CongoBasin,0.98631372
AT0907,CongoBasin,0.015223716
AT0708,CongoBasin,0.057701896
AT0124,CongoBasin,1
AT0718,CongoBasin,0.896755972
AT0104,CongoBasin,1
AT0101,CongoBasin,0.621166389
