Ecoregion,Annual_median,Permanent_median,Pasture_median,Urban_median,ClearCut_median,Retention_median,PlantationFuel_median,Plantation_median,SelectionSystem_median,SelectiveLogging_median,Afforested_median,ForExtensive_median,ForIntensive_median
NT0130,2.53E-14,2.03E-14,1.27E-14,3.59E-14,1.55E-14,5.15E-15,1.55E-14,1.55E-14,5.15E-15,5.15E-15,0.00E+00,5.15E-15,1.55E-14
NT0131,5.56E-14,5.18E-14,2.82E-14,8.23E-14,3.52E-14,8.85E-15,3.52E-14,3.52E-14,8.85E-15,8.85E-15,0.00E+00,8.85E-15,3.52E-14
NT0132,1.58E-15,1.16E-15,4.96E-16,2.42E-15,1.04E-15,4.67E-16,1.04E-15,1.04E-15,4.67E-16,4.67E-16,0.00E+00,4.67E-16,1.04E-15
NT0133,1.69E-15,1.19E-15,NaN,2.64E-15,1.17E-15,5.36E-16,1.17E-15,1.17E-15,5.36E-16,5.36E-16,0.00E+00,5.36E-16,1.17E-15
NT0134,4.59E-14,3.18E-14,3.32E-14,7.09E-14,2.71E-14,7.76E-15,2.71E-14,2.71E-14,7.76E-15,7.76E-15,0.00E+00,7.76E-15,2.71E-14
NT0135,1.63E-15,9.53E-16,8.02E-16,2.50E-15,9.65E-16,4.24E-16,9.65E-16,9.65E-16,4.24E-16,4.24E-16,0.00E+00,4.24E-16,9.65E-16
NT0136,2.77E-14,2.46E-14,1.86E-14,4.28E-14,1.74E-14,4.29E-15,1.74E-14,1.74E-14,4.29E-15,4.29E-15,0.00E+00,4.29E-15,1.74E-14
NT0137,5.32E-15,3.78E-15,3.28E-15,8.32E-15,3.00E-15,7.38E-16,3.00E-15,3.00E-15,7.38E-16,7.38E-16,0.00E+00,7.38E-16,3.00E-15
NT0138,1.91E-15,1.13E-15,8.67E-16,3.05E-15,1.18E-15,5.51E-16,1.18E-15,1.18E-15,5.51E-16,5.51E-16,0.00E+00,5.51E-16,1.18E-15
NT0139,7.79E-16,4.83E-16,3.93E-16,1.17E-15,4.58E-16,1.58E-16,4.58E-16,4.58E-16,1.58E-16,1.58E-16,0.00E+00,1.58E-16,4.58E-16
NT0140,8.46E-16,5.86E-16,4.83E-16,1.36E-15,5.11E-16,1.49E-16,5.11E-16,5.11E-16,1.49E-16,1.49E-16,0.00E+00,1.49E-16,5.11E-16
NT0141,2.62E-15,1.84E-15,9.87E-16,4.13E-15,1.82E-15,7.67E-16,1.82E-15,1.82E-15,7.67E-16,7.67E-16,0.00E+00,7.67E-16,1.82E-15
NT0142,4.44E-15,3.19E-15,1.85E-15,6.97E-15,2.79E-15,1.32E-15,2.79E-15,2.79E-15,1.32E-15,1.32E-15,0.00E+00,1.32E-15,2.79E-15
NT0143,1.19E-15,7.96E-16,7.24E-16,2.09E-15,6.87E-16,2.81E-16,6.87E-16,6.87E-16,2.81E-16,2.81E-16,0.00E+00,2.81E-16,6.87E-16
NT0144,9.85E-16,5.61E-16,5.16E-16,1.39E-15,5.39E-16,1.52E-16,5.39E-16,5.39E-16,1.52E-16,1.52E-16,0.00E+00,1.52E-16,5.39E-16
NT0145,5.29E-14,4.79E-14,3.74E-14,8.12E-14,3.25E-14,8.06E-15,3.25E-14,3.25E-14,8.06E-15,8.06E-15,0.00E+00,8.06E-15,3.25E-14
NT0146,1.77E-13,1.35E-13,7.50E-14,2.08E-13,8.77E-14,3.34E-14,8.77E-14,8.77E-14,3.34E-14,3.34E-14,0.00E+00,3.34E-14,8.77E-14
NT0147,2.85E-15,2.09E-15,1.27E-15,4.52E-15,1.67E-15,8.81E-16,1.67E-15,1.67E-15,8.81E-16,8.81E-16,0.00E+00,8.81E-16,1.67E-15
NT0148,3.52E-15,2.75E-15,1.34E-15,4.55E-15,2.10E-15,6.59E-16,2.10E-15,2.10E-15,6.59E-16,6.59E-16,0.00E+00,6.59E-16,2.10E-15
NT0149,1.65E-15,1.21E-15,8.05E-16,2.72E-15,9.82E-16,3.39E-16,9.82E-16,9.82E-16,3.39E-16,3.39E-16,0.00E+00,3.39E-16,9.82E-16
NT0150,3.83E-15,2.65E-15,1.94E-15,5.28E-15,2.13E-15,5.83E-16,2.13E-15,2.13E-15,5.83E-16,5.83E-16,0.00E+00,5.83E-16,2.13E-15
NT0151,2.45E-14,1.99E-14,8.79E-15,3.16E-14,1.57E-14,3.80E-15,1.57E-14,1.57E-14,3.80E-15,3.80E-15,0.00E+00,3.80E-15,1.57E-14
NT0152,1.03E-14,8.14E-15,4.44E-15,1.38E-14,6.21E-15,1.49E-15,6.21E-15,6.21E-15,1.49E-15,1.49E-15,0.00E+00,1.49E-15,6.21E-15
NT0153,2.02E-14,1.76E-14,1.56E-14,3.51E-14,1.33E-14,3.26E-15,1.33E-14,1.33E-14,3.26E-15,3.26E-15,0.00E+00,3.26E-15,1.33E-14
NT0154,1.50E-14,1.18E-14,6.16E-15,1.83E-14,7.74E-15,3.00E-15,7.74E-15,7.74E-15,3.00E-15,3.00E-15,0.00E+00,3.00E-15,7.74E-15
NT0155,6.68E-14,6.18E-14,3.30E-14,9.22E-14,NaN,1.33E-14,NaN,NaN,1.33E-14,1.33E-14,0.00E+00,1.33E-14,NaN
NT0156,1.78E-15,1.20E-15,5.31E-16,2.80E-15,1.21E-15,5.67E-16,1.21E-15,1.21E-15,5.67E-16,5.67E-16,0.00E+00,5.67E-16,1.21E-15
NT0157,1.67E-15,1.16E-15,5.21E-16,2.57E-15,1.16E-15,5.17E-16,1.16E-15,1.16E-15,5.17E-16,5.17E-16,0.00E+00,5.17E-16,1.16E-15
NT0158,1.30E-15,8.54E-16,9.24E-16,2.13E-15,7.89E-16,2.45E-16,7.89E-16,7.89E-16,2.45E-16,2.45E-16,0.00E+00,2.45E-16,7.89E-16
NT0159,7.30E-14,6.30E-14,5.16E-14,1.16E-13,4.49E-14,8.35E-15,4.49E-14,4.49E-14,8.35E-15,8.35E-15,0.00E+00,8.35E-15,4.49E-14
NT0160,2.79E-14,2.19E-14,1.62E-14,3.79E-14,1.68E-14,4.82E-15,1.68E-14,1.68E-14,4.82E-15,4.82E-15,0.00E+00,4.82E-15,1.68E-14
NT0161,2.41E-13,1.88E-13,9.70E-14,2.72E-13,1.02E-13,3.72E-14,1.02E-13,1.02E-13,3.72E-14,3.72E-14,0.00E+00,3.72E-14,1.02E-13
NT0162,3.21E-14,2.75E-14,1.50E-14,4.04E-14,1.79E-14,6.16E-15,1.79E-14,1.79E-14,6.16E-15,6.16E-15,0.00E+00,6.16E-15,1.79E-14
NT0163,2.14E-15,1.72E-15,6.86E-16,3.61E-15,1.52E-15,7.34E-16,1.52E-15,1.52E-15,7.34E-16,7.34E-16,0.00E+00,7.34E-16,1.52E-15
NT0164,8.07E-15,5.68E-15,4.92E-15,1.10E-14,3.98E-15,1.56E-15,3.98E-15,3.98E-15,1.56E-15,1.56E-15,0.00E+00,1.56E-15,3.98E-15
NT0165,6.58E-15,2.94E-15,4.25E-15,1.06E-14,3.33E-15,1.77E-15,3.33E-15,3.33E-15,1.77E-15,1.77E-15,0.00E+00,1.77E-15,3.33E-15
NT0166,2.69E-15,1.93E-15,1.13E-15,4.41E-15,1.74E-15,7.84E-16,1.74E-15,1.74E-15,7.84E-16,7.84E-16,0.00E+00,7.84E-16,1.74E-15
NT0167,7.28E-14,6.40E-14,4.16E-14,1.22E-13,4.98E-14,1.97E-14,4.98E-14,4.98E-14,1.97E-14,1.97E-14,0.00E+00,1.97E-14,4.98E-14
NT0168,1.64E-15,1.21E-15,5.41E-16,2.50E-15,1.14E-15,4.54E-16,1.14E-15,1.14E-15,4.54E-16,4.54E-16,0.00E+00,4.54E-16,1.14E-15
NT0169,1.28E-14,1.14E-14,1.00E-14,NaN,8.93E-15,2.40E-15,8.93E-15,8.93E-15,2.40E-15,2.40E-15,0.00E+00,2.40E-15,8.93E-15
NT0170,1.41E-15,8.63E-16,6.55E-16,2.09E-15,8.46E-16,3.38E-16,8.46E-16,8.46E-16,3.38E-16,3.38E-16,0.00E+00,3.38E-16,8.46E-16
NT0171,3.79E-14,3.15E-14,1.63E-14,5.31E-14,2.26E-14,1.01E-14,2.26E-14,2.26E-14,1.01E-14,1.01E-14,0.00E+00,1.01E-14,2.26E-14
NT0173,1.59E-15,1.18E-15,5.59E-16,2.46E-15,1.07E-15,4.67E-16,1.07E-15,1.07E-15,4.67E-16,4.67E-16,0.00E+00,4.67E-16,1.07E-15
NT0174,9.45E-15,7.57E-15,4.20E-15,1.44E-14,6.20E-15,2.64E-15,6.20E-15,6.20E-15,2.64E-15,2.64E-15,0.00E+00,2.64E-15,6.20E-15
NT0175,3.61E-14,3.06E-14,2.43E-14,5.27E-14,2.29E-14,6.59E-15,2.29E-14,2.29E-14,6.59E-15,6.59E-15,0.00E+00,6.59E-15,2.29E-14
NT0176,1.38E-14,1.08E-14,6.14E-15,1.65E-14,6.57E-15,2.21E-15,6.57E-15,6.57E-15,2.21E-15,2.21E-15,0.00E+00,2.21E-15,6.57E-15
NT0177,6.71E-14,5.18E-14,2.66E-14,7.63E-14,3.07E-14,1.13E-14,3.07E-14,3.07E-14,1.13E-14,1.13E-14,0.00E+00,1.13E-14,3.07E-14
NT0178,1.20E-14,1.08E-14,7.02E-15,1.83E-14,7.27E-15,1.69E-15,7.27E-15,7.27E-15,1.69E-15,1.69E-15,0.00E+00,1.69E-15,7.27E-15
NT0179,1.48E-13,1.43E-13,5.74E-14,2.13E-13,1.04E-13,2.84E-14,1.04E-13,1.04E-13,2.84E-14,2.84E-14,0.00E+00,2.84E-14,1.04E-13
NT0180,1.30E-15,8.32E-16,6.48E-16,2.00E-15,7.87E-16,2.98E-16,7.87E-16,7.87E-16,2.98E-16,2.98E-16,0.00E+00,2.98E-16,7.87E-16
NT0181,5.38E-15,3.87E-15,1.74E-15,7.94E-15,3.12E-15,1.51E-15,3.12E-15,3.12E-15,1.51E-15,1.51E-15,0.00E+00,1.51E-15,3.12E-15
NT0182,1.82E-15,1.36E-15,1.10E-15,3.08E-15,1.25E-15,4.10E-16,1.25E-15,1.25E-15,4.10E-16,4.10E-16,0.00E+00,4.10E-16,1.25E-15
NT0201,2.24E-15,1.82E-15,1.69E-15,4.01E-15,1.21E-15,3.57E-16,1.21E-15,1.21E-15,3.57E-16,3.57E-16,0.00E+00,3.57E-16,1.21E-15
NT0202,2.06E-15,1.83E-15,1.24E-15,3.37E-15,1.08E-15,3.85E-16,1.08E-15,1.08E-15,3.85E-16,3.85E-16,0.00E+00,3.85E-16,1.08E-15
NT0204,8.85E-15,7.18E-15,4.07E-15,1.15E-14,4.10E-15,1.56E-15,4.10E-15,4.10E-15,1.56E-15,1.56E-15,0.00E+00,1.56E-15,4.10E-15
NT0205,1.88E-14,1.48E-14,8.29E-15,2.38E-14,8.47E-15,3.63E-15,8.47E-15,8.47E-15,3.63E-15,3.63E-15,0.00E+00,3.63E-15,8.47E-15
NT0206,5.26E-15,5.00E-15,5.20E-15,1.23E-14,2.97E-15,9.22E-16,2.97E-15,2.97E-15,9.22E-16,9.22E-16,0.00E+00,9.22E-16,2.97E-15
NT0207,9.75E-15,9.01E-15,5.58E-15,1.56E-14,5.31E-15,1.71E-15,5.31E-15,5.31E-15,1.71E-15,1.71E-15,0.00E+00,1.71E-15,5.31E-15
NT0209,6.85E-15,5.84E-15,2.75E-15,9.39E-15,3.61E-15,1.28E-15,3.61E-15,3.61E-15,1.28E-15,1.28E-15,0.00E+00,1.28E-15,3.61E-15
NT0210,9.11E-16,5.31E-16,8.90E-16,1.98E-15,3.14E-16,1.70E-16,3.14E-16,3.14E-16,1.70E-16,1.70E-16,0.00E+00,1.70E-16,3.14E-16
NT0211,2.82E-14,2.12E-14,1.12E-14,3.36E-14,1.28E-14,4.57E-15,1.28E-14,1.28E-14,4.57E-15,4.57E-15,0.00E+00,4.57E-15,1.28E-14
NT0212,1.32E-15,9.52E-16,9.65E-16,2.50E-15,5.83E-16,3.21E-16,5.83E-16,5.83E-16,3.21E-16,3.21E-16,0.00E+00,3.21E-16,5.83E-16
NT0213,9.84E-15,8.75E-15,3.77E-15,1.35E-14,4.94E-15,1.47E-15,4.94E-15,4.94E-15,1.47E-15,1.47E-15,0.00E+00,1.47E-15,4.94E-15
NT0214,8.23E-15,9.04E-15,4.68E-15,1.56E-14,4.77E-15,1.28E-15,4.77E-15,4.77E-15,1.28E-15,1.28E-15,0.00E+00,1.28E-15,4.77E-15
NT0215,1.97E-14,1.80E-14,1.03E-14,2.68E-14,1.04E-14,3.26E-15,1.04E-14,1.04E-14,3.26E-15,3.26E-15,0.00E+00,3.26E-15,1.04E-14
NT0216,NaN,NaN,5.53E-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NT0217,2.72E-14,2.07E-14,1.21E-14,3.42E-14,1.14E-14,5.05E-15,1.14E-14,1.14E-14,5.05E-15,5.05E-15,0.00E+00,5.05E-15,1.14E-14
NT0218,4.42E-14,4.20E-14,2.01E-14,6.37E-14,2.39E-14,8.37E-15,2.39E-14,2.39E-14,8.37E-15,8.37E-15,0.00E+00,8.37E-15,2.39E-14
NT0219,9.37E-15,7.56E-15,5.60E-15,1.46E-14,5.56E-15,2.10E-15,5.56E-15,5.56E-15,2.10E-15,2.10E-15,0.00E+00,2.10E-15,5.56E-15
NT0220,3.82E-14,4.09E-14,2.16E-14,7.46E-14,2.71E-14,7.52E-15,2.71E-14,2.71E-14,7.52E-15,7.52E-15,0.00E+00,7.52E-15,2.71E-14
NT0221,1.03E-14,9.47E-15,5.07E-15,1.45E-14,5.06E-15,1.69E-15,5.06E-15,5.06E-15,1.69E-15,1.69E-15,0.00E+00,1.69E-15,5.06E-15
NT0222,4.60E-15,3.76E-15,2.78E-15,7.26E-15,2.46E-15,7.66E-16,2.46E-15,2.46E-15,7.66E-16,7.66E-16,0.00E+00,7.66E-16,2.46E-15
NT0223,2.08E-14,2.15E-14,1.71E-14,4.17E-14,1.38E-14,3.61E-15,1.38E-14,1.38E-14,3.61E-15,3.61E-15,0.00E+00,3.61E-15,1.38E-14
NT0224,7.54E-15,6.23E-15,3.28E-15,1.02E-14,3.86E-15,1.28E-15,3.86E-15,3.86E-15,1.28E-15,1.28E-15,0.00E+00,1.28E-15,3.86E-15
NT0225,2.13E-15,2.29E-15,1.79E-15,4.69E-15,1.22E-15,3.49E-16,1.22E-15,1.22E-15,3.49E-16,3.49E-16,0.00E+00,3.49E-16,1.22E-15
NT0226,7.10E-14,7.39E-14,3.46E-14,1.18E-13,NaN,1.49E-14,NaN,NaN,1.49E-14,1.49E-14,0.00E+00,1.49E-14,NaN
NT0227,1.52E-14,1.20E-14,1.21E-14,2.65E-14,5.88E-15,3.60E-15,5.88E-15,5.88E-15,3.60E-15,3.60E-15,0.00E+00,3.60E-15,5.88E-15
NT0228,8.56E-15,7.12E-15,4.62E-15,1.25E-14,3.94E-15,2.01E-15,3.94E-15,3.94E-15,2.01E-15,2.01E-15,0.00E+00,2.01E-15,3.94E-15
NT0229,7.25E-15,7.23E-15,4.82E-15,1.37E-14,4.38E-15,1.17E-15,4.38E-15,4.38E-15,1.17E-15,1.17E-15,0.00E+00,1.17E-15,4.38E-15
NT0230,3.12E-14,2.44E-14,1.43E-14,3.86E-14,1.32E-14,5.63E-15,1.32E-14,1.32E-14,5.63E-15,5.63E-15,0.00E+00,5.63E-15,1.32E-14
NT0232,7.31E-15,8.27E-15,5.61E-15,1.59E-14,4.85E-15,1.27E-15,4.85E-15,4.85E-15,1.27E-15,1.27E-15,0.00E+00,1.27E-15,4.85E-15
NT0233,1.78E-14,1.38E-14,7.12E-15,2.15E-14,7.93E-15,2.99E-15,7.93E-15,7.93E-15,2.99E-15,2.99E-15,0.00E+00,2.99E-15,7.93E-15
NT0235,4.27E-15,3.65E-15,1.64E-15,6.55E-15,2.25E-15,1.15E-15,2.25E-15,2.25E-15,1.15E-15,1.15E-15,0.00E+00,1.15E-15,2.25E-15
NT0301,5.34E-15,6.22E-15,3.85E-15,1.19E-14,3.41E-15,1.73E-15,3.41E-15,3.41E-15,1.73E-15,1.73E-15,0.00E+00,1.73E-15,3.41E-15
NT0302,5.80E-15,5.44E-15,2.38E-15,1.10E-14,3.37E-15,2.13E-15,3.37E-15,3.37E-15,2.13E-15,2.13E-15,0.00E+00,2.13E-15,3.37E-15
NT0303,2.14E-14,1.78E-14,9.41E-15,2.80E-14,1.10E-14,4.40E-15,1.10E-14,1.10E-14,4.40E-15,4.40E-15,0.00E+00,4.40E-15,1.10E-14
NT0304,2.57E-14,1.96E-14,9.80E-15,3.27E-14,1.34E-14,4.53E-15,1.34E-14,1.34E-14,4.53E-15,4.53E-15,0.00E+00,4.53E-15,1.34E-14
NT0305,3.24E-14,3.01E-14,1.80E-14,4.85E-14,1.99E-14,5.04E-15,1.99E-14,1.99E-14,5.04E-15,5.04E-15,0.00E+00,5.04E-15,1.99E-14
NT0306,1.26E-15,1.15E-15,7.68E-16,2.74E-15,6.87E-16,3.47E-16,6.87E-16,6.87E-16,3.47E-16,3.47E-16,0.00E+00,3.47E-16,6.87E-16
NT0307,2.24E-14,1.54E-14,1.28E-14,2.98E-14,7.75E-15,5.11E-15,7.75E-15,7.75E-15,5.11E-15,5.11E-15,0.00E+00,5.11E-15,7.75E-15
NT0308,1.09E-13,8.30E-14,5.09E-14,1.37E-13,4.92E-14,2.32E-14,4.92E-14,4.92E-14,2.32E-14,2.32E-14,0.00E+00,2.32E-14,4.92E-14
NT0309,4.06E-14,3.27E-14,2.10E-14,5.64E-14,1.94E-14,9.93E-15,1.94E-14,1.94E-14,9.93E-15,9.93E-15,0.00E+00,9.93E-15,1.94E-14
NT0310,2.69E-14,2.04E-14,1.36E-14,3.58E-14,1.22E-14,5.81E-15,1.22E-14,1.22E-14,5.81E-15,5.81E-15,0.00E+00,5.81E-15,1.22E-14
NT0401,NaN,NaN,7.50E-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NT0402,1.33E-15,9.62E-16,1.46E-15,2.88E-15,6.41E-16,1.82E-16,6.41E-16,6.41E-16,1.82E-16,1.82E-16,0.00E+00,1.82E-16,6.41E-16
NT0404,3.37E-15,2.62E-15,2.49E-15,5.91E-15,1.81E-15,8.58E-16,1.81E-15,1.81E-15,8.58E-16,8.58E-16,0.00E+00,8.58E-16,1.81E-15
NT0702,9.00E-16,8.14E-16,1.14E-15,2.38E-15,4.91E-16,1.53E-16,4.91E-16,4.91E-16,1.53E-16,1.53E-16,0.00E+00,1.53E-16,4.91E-16
NT0703,1.58E-14,1.16E-14,1.21E-14,2.48E-14,7.94E-15,1.80E-15,7.94E-15,7.94E-15,1.80E-15,1.80E-15,0.00E+00,1.80E-15,7.94E-15
NT0704,1.22E-15,9.29E-16,9.37E-16,2.18E-15,5.67E-16,1.61E-16,5.67E-16,5.67E-16,1.61E-16,1.61E-16,0.00E+00,1.61E-16,5.67E-16
NT0705,NaN,NaN,3.62E-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NT0707,1.95E-15,2.18E-15,2.15E-15,4.26E-15,1.33E-15,3.43E-16,1.33E-15,1.33E-15,3.43E-16,3.43E-16,0.00E+00,3.43E-16,1.33E-15
NT0708,8.84E-16,6.35E-16,8.28E-16,1.87E-15,3.72E-16,1.67E-16,3.72E-16,3.72E-16,1.67E-16,1.67E-16,0.00E+00,1.67E-16,3.72E-16
NT0709,9.09E-16,8.27E-16,1.00E-15,2.07E-15,4.78E-16,1.28E-16,4.78E-16,4.78E-16,1.28E-16,1.28E-16,0.00E+00,1.28E-16,4.78E-16
NT0710,1.37E-15,9.16E-16,9.87E-16,2.43E-15,5.68E-16,1.47E-16,5.68E-16,5.68E-16,1.47E-16,1.47E-16,0.00E+00,1.47E-16,5.68E-16
NT0801,7.71E-16,5.04E-16,4.89E-16,1.27E-15,3.08E-16,9.93E-17,3.08E-16,3.08E-16,9.93E-17,9.93E-17,0.00E+00,9.93E-17,3.08E-16
NT0802,1.06E-15,4.25E-16,8.97E-16,1.74E-15,2.55E-16,8.38E-17,2.55E-16,2.55E-16,8.38E-17,8.38E-17,0.00E+00,8.38E-17,2.55E-16
NT0803,9.39E-16,6.82E-16,4.69E-16,1.47E-15,4.66E-16,1.81E-16,4.66E-16,4.66E-16,1.81E-16,1.81E-16,0.00E+00,1.81E-16,4.66E-16
NT0805,1.52E-15,1.09E-15,1.27E-15,2.56E-15,5.85E-16,1.68E-16,5.85E-16,5.85E-16,1.68E-16,1.68E-16,0.00E+00,1.68E-16,5.85E-16
NT0902,1.69E-14,1.40E-14,6.77E-15,2.64E-14,8.91E-15,2.77E-15,8.91E-15,8.91E-15,2.77E-15,2.77E-15,0.00E+00,2.77E-15,8.91E-15
NT0903,1.16E-14,1.11E-14,6.18E-15,NaN,6.12E-15,2.20E-15,6.12E-15,6.12E-15,2.20E-15,2.20E-15,0.00E+00,2.20E-15,6.12E-15
NT0904,2.62E-15,1.91E-15,1.53E-15,3.68E-15,1.03E-15,4.47E-16,1.03E-15,1.03E-15,4.47E-16,4.47E-16,0.00E+00,4.47E-16,1.03E-15
NT0905,1.04E-14,1.07E-14,5.86E-15,1.80E-14,5.75E-15,1.30E-15,5.75E-15,5.75E-15,1.30E-15,1.30E-15,0.00E+00,1.30E-15,5.75E-15
NT0906,8.80E-16,7.10E-16,6.10E-16,1.83E-15,4.05E-16,2.29E-16,4.05E-16,4.05E-16,2.29E-16,2.29E-16,0.00E+00,2.29E-16,4.05E-16
NT0907,8.25E-16,7.45E-16,8.23E-16,1.77E-15,4.39E-16,1.44E-16,4.39E-16,4.39E-16,1.44E-16,1.44E-16,0.00E+00,1.44E-16,4.39E-16
NT0908,1.29E-15,6.06E-16,1.16E-15,2.48E-15,4.17E-16,2.23E-16,4.17E-16,4.17E-16,2.23E-16,2.23E-16,0.00E+00,2.23E-16,4.17E-16
NT0909,1.34E-15,1.17E-15,1.42E-15,3.07E-15,7.31E-16,2.29E-16,7.31E-16,7.31E-16,2.29E-16,2.29E-16,0.00E+00,2.29E-16,7.31E-16
NT1001,1.17E-15,1.00E-15,1.40E-15,2.35E-15,6.10E-16,1.44E-16,6.10E-16,6.10E-16,1.44E-16,1.44E-16,0.00E+00,1.44E-16,6.10E-16
NT1002,1.60E-15,1.38E-15,1.99E-15,3.51E-15,8.48E-16,1.86E-16,8.48E-16,8.48E-16,1.86E-16,1.86E-16,0.00E+00,1.86E-16,8.48E-16
NT1003,3.42E-15,3.54E-15,3.68E-15,7.48E-15,2.16E-15,4.38E-16,2.16E-15,2.16E-15,4.38E-16,4.38E-16,0.00E+00,4.38E-16,2.16E-15
NT1004,1.12E-14,1.14E-14,1.18E-14,NaN,7.25E-15,1.58E-15,7.25E-15,7.25E-15,1.58E-15,1.58E-15,0.00E+00,1.58E-15,7.25E-15
NT1005,3.95E-14,3.88E-14,4.51E-14,7.66E-14,2.87E-14,5.34E-15,2.87E-14,2.87E-14,5.34E-15,5.34E-15,0.00E+00,5.34E-15,2.87E-14
NT1006,1.96E-14,1.81E-14,1.87E-14,3.61E-14,1.16E-14,2.27E-15,1.16E-14,1.16E-14,2.27E-15,2.27E-15,0.00E+00,2.27E-15,1.16E-14
NT1007,4.73E-14,5.63E-14,5.59E-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NT1008,1.30E-15,9.63E-16,1.39E-15,2.28E-15,5.27E-16,1.68E-16,5.27E-16,5.27E-16,1.68E-16,1.68E-16,0.00E+00,1.68E-16,5.27E-16
NT1010,3.02E-15,1.54E-15,3.63E-15,5.94E-15,1.06E-15,2.68E-16,1.06E-15,1.06E-15,2.68E-16,2.68E-16,0.00E+00,2.68E-16,1.06E-15
NT1201,1.79E-15,1.40E-15,1.38E-15,2.95E-15,7.21E-16,2.46E-16,7.21E-16,7.21E-16,2.46E-16,2.46E-16,0.00E+00,2.46E-16,7.21E-16
NT1301,8.30E-15,8.20E-15,6.18E-15,1.55E-14,5.39E-15,1.62E-15,5.39E-15,5.39E-15,1.62E-15,1.62E-15,0.00E+00,1.62E-15,5.39E-15
NT1303,NaN,NaN,1.07E-15,2.08E-15,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NT1304,1.18E-15,9.29E-16,8.63E-16,2.19E-15,5.67E-16,1.70E-16,5.67E-16,5.67E-16,1.70E-16,1.70E-16,0.00E+00,1.70E-16,5.67E-16
NT1305,3.63E-14,3.14E-14,1.93E-14,5.88E-14,1.98E-14,7.95E-15,1.98E-14,1.98E-14,7.95E-15,7.95E-15,0.00E+00,7.95E-15,1.98E-14
NT1306,3.34E-14,2.69E-14,1.56E-14,4.30E-14,1.67E-14,6.03E-15,1.67E-14,1.67E-14,6.03E-15,6.03E-15,0.00E+00,6.03E-15,1.67E-14
NT1307,NaN,NaN,2.27E-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NT1308,2.90E-15,2.35E-15,2.59E-15,6.21E-15,1.34E-15,3.57E-16,1.34E-15,1.34E-15,3.57E-16,3.57E-16,0.00E+00,3.57E-16,1.34E-15
NT1309,4.85E-15,4.70E-15,3.92E-15,9.07E-15,2.99E-15,7.77E-16,2.99E-15,2.99E-15,7.77E-16,7.77E-16,0.00E+00,7.77E-16,2.99E-15
NT1312,3.82E-14,3.45E-14,1.63E-14,4.65E-14,1.65E-14,4.88E-15,1.65E-14,1.65E-14,4.88E-15,4.88E-15,0.00E+00,4.88E-15,1.65E-14
NT1313,7.89E-15,5.67E-15,8.12E-15,1.56E-14,3.27E-15,1.19E-15,3.27E-15,3.27E-15,1.19E-15,1.19E-15,0.00E+00,1.19E-15,3.27E-15
NT1314,2.45E-14,2.19E-14,1.93E-14,3.89E-14,1.02E-14,4.97E-15,1.02E-14,1.02E-14,4.97E-15,4.97E-15,0.00E+00,4.97E-15,1.02E-14
NT1315,2.87E-15,2.72E-15,2.79E-15,5.71E-15,1.50E-15,4.45E-16,1.50E-15,1.50E-15,4.45E-16,4.45E-16,0.00E+00,4.45E-16,1.50E-15
NT1316,1.99E-14,1.40E-14,1.28E-14,2.93E-14,7.45E-15,4.03E-15,7.45E-15,7.45E-15,4.03E-15,4.03E-15,0.00E+00,4.03E-15,7.45E-15
NT1318,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NT1401,3.47E-15,3.04E-15,1.96E-15,6.41E-15,2.03E-15,9.34E-16,2.03E-15,2.03E-15,9.34E-16,9.34E-16,0.00E+00,9.34E-16,2.03E-15
NT1402,1.38E-14,1.39E-14,6.73E-15,2.27E-14,7.77E-15,2.93E-15,7.77E-15,7.77E-15,2.93E-15,2.93E-15,0.00E+00,2.93E-15,7.77E-15
NT1403,6.21E-15,4.88E-15,3.00E-15,9.39E-15,3.00E-15,1.44E-15,3.00E-15,3.00E-15,1.44E-15,1.44E-15,0.00E+00,1.44E-15,3.00E-15
NT1404,2.47E-15,1.38E-15,1.53E-15,4.21E-15,9.20E-16,4.82E-16,9.20E-16,9.20E-16,4.82E-16,4.82E-16,0.00E+00,4.82E-16,9.20E-16
NT1405,1.23E-14,1.26E-14,8.37E-15,2.19E-14,7.46E-15,2.67E-15,7.46E-15,7.46E-15,2.67E-15,2.67E-15,0.00E+00,2.67E-15,7.46E-15
NT1406,2.73E-14,2.11E-14,1.55E-14,3.80E-14,1.56E-14,5.29E-15,1.56E-14,1.56E-14,5.29E-15,5.29E-15,0.00E+00,5.29E-15,1.56E-14
NT1407,7.69E-15,6.66E-15,3.98E-15,1.28E-14,4.22E-15,1.59E-15,4.22E-15,4.22E-15,1.59E-15,1.59E-15,0.00E+00,1.59E-15,4.22E-15
